"PokemonName","Description","Type1","Type2","Health","Attack","Defense","SpecialAttack","SpecialDefense","Speed"
Vixxu,"Vixxu, a mysterious and sinister Pokemon with a slender, humanoid body covered in dark, scaly skin that seems to shift and writhe like living shadows. Its face is a twisted, inhuman visage with glowing red eyes that burn with an inner fire. Two long, curved horns protrude from its forehead, each tipped with a jagged, black spike. A dark, wispy tendril darts from the tip of each horn, as if beckoning in the very darkness itself.",Dark,Poison,160,60,97,214,100,225
Glint,"Glint is a swift and agile Grass/Electric-type Pokemon with a slender, quadrupedal body covered in a thick, downy fur. Its four legs are adorned with sharp, electrically charged claws that allow it to quickly dart and strike with precision. A flowing, iridescent mane of grass-like hair sprouts from its neck, shimmering with a soft, ethereal glow. Its large, round eyes burn with an inner light, shining like lanterns in the dark. Glint's electric attacks are fueled by its ability to harness the power of the sun, and its Grass-type moves are infused with a subtle, mystical energy.",Grass,Electric,84,18,75,58,53,71
Moonlit,"Moonlit is a delicate, ethereal Pokemon with a slender, fairy-like body covered in a soft, pale green and white mist. Its long, flowing hair is made of the same misty material, and it often carries a small, glowing lantern attached to its neck. Its eyes shine like stars in the night sky, and it possesses a gentle, otherworldly aura.",Grass,Fairy,66,32,237,53,168,213
Lyraxi,"Lyraxi, the Whispering Wraith, is a ghost/dark-type Pokemon with an ethereal appearance. Its slender, elongated body is covered in a wispy, translucent membrane that shimmers like the moon. Two glowing, iridescent orbs serve as its eyes, pulsing with an otherworldly energy. Two delicate, almost translucent wings sprout from its back, allowing it to glide through the air with eerie silence. Its presence is often accompanied by a soft, whispery hum, as if it is sharing secrets with the wind.",Psychic,Ground,84,3,171,196,241,152
Fyzdc,"Fyzdc is a formidable Ice/Dark-type Pokemon with a slender, crystalline body that shimmers like frost in the light. Its dark, icy scales seem to absorb the warmth of its surroundings, giving it an otherworldly aura. Two glowing, crystalline orbs serve as its eyes, radiating an ethereal blue light that seems to pierce through the darkness. Its delicate, almost translucent wings are folded tightly against its back, allowing it to glide through the air with a silent, deadly precision.",Ice,Dark,248,108,92,106,47,86
Chaz,"Chaz, the gentle tide whisperer, is a mystical Water/Ground-type Pokemon with a slender, aquatic physique. Its long, flowing hair resembles seaweed, and its eyes shimmer with an ethereal glow, as if reflecting the soft lapping of the ocean's waves. Chaz's most striking feature, however, is the delicate, water-inspired tendrils that sprout from its shoulders, quivering like living seaweed as it moves.",Water,Ground,109,201,137,182,211,233
Wiggy,"Wiggy is a small, wispy Pokemon with a fluffy, ghostly appearance. Its body is a translucent, pinkish-white mass with glowing purple veins that pulse with a soft, ethereal light. Two large, glowing orbs serve as its eyes, giving Wiggy an otherworldly, mischievous appearance. Its long, slender limbs are tipped with delicate, ghostly fingers that seem to be perpetually curled into tiny, ghostly fists. Wiggy's most distinctive feature, however, is its ability to manipulate fire and ice, using its ghostly powers to create intricate, swirling patterns of flame and ice that dance across its body.",Fire,Ghost,91,5,227,120,234,207
Vulcan,"Vulcan, the stalwart earth-dweller, is a sturdy Pokemon with a rugged, granite-like exoskeleton. Its body is a deep, earthy brown, with intricate patterns of lighter, speckled stone that resemble ancient ruins. Two large, gleaming obsidian-like eyes watch the surroundings with a keen, geological intensity. Its four limbs are sturdy and powerful, ending in sharp, hook-like claws that can dig and tear through even the toughest earth. Vulcan's most distinctive feature, however, is its ability to control and manipulate the earth around it, summoning boulders and roots to aid it in combat or protect itself from harm.",Bug,Ground,131,50,64,5,70,113
Twirnux,"Twirnux, a mysterious and agile Pokemon with an electric and dark-type combination, boasts a slender yet athletic build. Its elongated body is covered in a thin, translucent skin that shimmers with an eerie, otherworldly glow. Two glowing, ethereal orbs serve as its eyes, emitting an unsettling, pulsing light. Twirnux's electric attacks are fueled by its own internal energy, while its dark-type abilities can manipulate the shadows, making it a formidable opponent in close combat.",Dark,Electric,90,243,67,129,62,79
Xamza,"Xamza, a diminutive, winged Pokemon with a slender yet athletic build, is said to possess the mystical powers of the Fairy type. Its delicate, petal-like wings are a mesmerizing sight, shimmering with an ethereal glow that seems to shift and change color depending on its mood. Xamza's body is adorned with intricate, swirling patterns that resemble the delicate tendrils of a flower, giving it an otherworldly appearance. Its eyes burn with an inner light, shining like stars in the darkness.",Fighting,Fairy,238,203,200,62,76,159
